abster-se； abstain/棄權； v. r.；Nas assembleias, muitos cidadãos decidiram abster-se da votação.; de
amortizar； 攤還/緩衝； v. t.；O empréstimo será amortizado em dez anos.; —
ampliar； 擴大/放大； v. t.；A empresa pretende ampliar a sua presença no mercado asiático.; —
anacrónico； 過時的/時代錯誤的； adj.；Aquele costume é completamente anacrónico nos dias de hoje.; —
análogo； 類似的/比擬的； adj.；A situação é análoga à que vivemos no ano passado.; a
anátema； 詛咒/譴責； s. m.；O racismo é um anátema para qualquer sociedade democrática.; —
ancorar； 拋錨/固定； v. t.；O navio ancorou no porto de Lisboa ao entardecer.; —
angariar； 募集/籌集； v. t.；A ONG conseguiu angariar fundos para o projeto.; —
aniquilar； 殲滅/毀滅； v. t.；O exército aniquilou as forças inimigas.; —
anonimato； 匿名/無名； s. m.；O doador preferiu manter o anonimato.; —
anteceder； 先於/在…之前； v. t.；O período de chuvas antecede a colheita.; —
antepassado； 祖先/先輩； s. m.；Os meus antepassados vieram dos Açores.; —
antever； 預見/預料； v. t.；O economista anteviu a crise com meses de antecedência.; —
antipático； 令人討厭的/不友善的； adj.；O funcionário foi muito antipático com os clientes.; com
antiquado； 過時的/老式的； adj.；Os métodos de ensino estão totalmente antiquados.; —
anular； 取消/使無效； v. t.；O juiz anulou o contrato por irregularidades.; —
apadrinhar； 贊助/支持； v. t.；Vários empresários apadrinharam o evento cultural.; —
apaziguar； 安撫/平息； v. t.；O mediador conseguiu apaziguar os ânimos exaltados.; —
aperreação； 煩惱/困擾； s. f.；A aperreação com os prazos deixou-a exausta.; com
apetrechar； 裝備/配備； v. t.；A cozinha foi apetrechada com eletrodomésticos modernos.; com
aplacar； 平息/安撫； v. t.；Nada conseguia aplacar a sua fúria.; —
apologia； 辯護/讚揚； s. f.；O discurso foi uma apologia da liberdade de expressão.; de
apóstrofe； 頓呼/責罵； s. f.；O orador dirigiu uma apóstrofe veemente aos críticos.; —
aprazível； 宜人的/愉快的； adj.；A tarde foi passada num local aprazível à beira-rio.; —
apreço； 賞識/尊重； s. m.；Ela tem grande apreço pela literatura portuguesa.; por
aprofundar； 深化/深入研究； v. t.；O estudo aprofundou a análise dos efeitos da poluição.; —
aptidão； 才能/資質； s. f.；Revelou uma enorme aptidão para a música desde cedo.; para
aquiescer； 默許/同意； v. i.；O diretor aquiesceu ao pedido dos trabalhadores.; a
arbítrio； 裁決/任意； s. m.；A decisão ficou ao arbítrio do juiz.; —
arcabouço； 骨架/框架； s. m.；O arcabouço teórico da investigação é sólido.; —
ardiloso； 狡猾的/詭計多端的； adj.；O ardiloso político enganou os eleitores.; —
arguição； 辯論/質詢； s. f.；A arguição da tese decorreu na sala magna.; —
arrojo； 大膽/勇氣； s. m.；O arquiteto mostrou grande arrojo no projeto.; —
arrolar； 列舉/登記； v. t.；O testamento arrola todos os bens do falecido.; —
arruinar； 毀滅/使破產； v. t.；A má gestão arruinou a empresa familiar.; —
articulado； 清晰的/關節分明的； adj.；O argumento estava bem articulado e convincente.; —
artimanha； 詭計/陰謀； s. f.；Ele usou uma artimanha para evitar ser descoberto.; —
ascender； 上升/晉升； v. i.；Ascendeu ao cargo de diretor após dez anos de trabalho.; a
assacar； 歸咎/誣蔑； v. t.；Assacaram-lhe culpas que não lhe pertenciam.; a
assalariado； 受薪的/領工資的； adj.；A população assalariada tem vindo a perder poder de compra.; —
assaz； 足夠地/相當地； adv.；O discurso foi assaz convincente para a audiência.; —
assegurar； 確保/保證； v. t.；O banco assegurou o financiamento do projeto.; —
assentar； 安置/奠定； v. t.；A argumentação assenta em premissas falsas.; em
assíduo； 勤奮的/經常的； adj.；Ele é um leitor assíduo de obras filosóficas.; —
assimilar； 吸收/理解； v. t.；Os alunos assimilaram bem os conceitos complexos.; —
assobiar； 吹口哨/哨子聲； v. t.；O vento assobiava entre as frestas da janela.; —
assombro； 驚愕/奇蹟； s. m.；Para seu assombro, a casa estava completamente vazia.; com
assumir； 承擔/假設； v. t.；O governo assumiu a responsabilidade pelo erro.; —
atenazar； 折磨/使苦惱； v. t.；A dúvida atenazava-lhe o pensamento.; —
atender； 注意/接待； v. t.；O médico atendeu o paciente com urgência.; a
atentado； 襲擊/侵害； s. m.；O atentado contra a vida do presidente falhou.; contra
ater-se； 堅守/遵循； v. r.；Devemos ater-nos aos factos e não a opiniões.; a
aterrorizar； 恐嚇/驚嚇； v. t.；Os filmes de terror aterrorizaram-na em criança.; —
atingir； 達到/擊中； v. t.；A inflação atingiu níveis históricos no país.; —
ato； 行為/法案； s. m.；O ato de solidariedade comoveu toda a comunidade.; —
atracar； 停泊/繫緊； v. t.；O ferry atracou no cais da Ribeira das Naus.; —
atravessar； 穿過/遭受； v. t.；O país atravessa uma grave crise política.; —
atrever-se； 敢於/膽敢； v. r.；Não me atrevo a contestar a decisão do diretor.; a
atribulado； 動盪的/困苦的； adj.；A sua vida foi atribulada mas cheia de realizações.; —
audácia； 大膽/無畏； s. f.；A audácia do explorador impressionou toda a equipa.; —
aulido； 嚎叫/哀鳴； s. m.；O aulido do cão ouvia-se durante a noite.; —
auspiciar； 贊助/預示； v. t.；O empresário auspiciou a criação do novo museu.; —
autenticar； 認證/鑑定； v. t.；O notário autenticou o documento.; —
autóctone； 本土的/原生的； adj.；As espécies autóctones estão ameaçadas pela invasão de exóticas.; —
autonomia； 自治/自主； s. f.；A região conquistou a sua autonomia política.; —
avaliar； 評估/評價； v. t.；O perito avaliou o imóvel em trezentos mil euros.; —
avassalador； 壓倒性的/征服的； adj.；A derrota foi avassaladora para a equipa.; —
aventar； 提出/揣測； v. t.；O professor aventou a hipótese de uma nova teoria.; —
aversão； 厭惡/反感； s. f.；Ele tem uma profunda aversão à hipocrisia.; a
avidez； 貪婪/渴望； s. f.；A avidez com que leu o livro era notória.; por
aviltar； 貶低/侮辱； v. t.；Não podemos aviltar a dignidade do próximo.; —
axioma； 公理/原則； s. m.；É um axioma da física que a energia não se cria nem se destrói.; —
azafama； 忙碌/喧囂； s. f.；Vivia numa azafama constante entre o trabalho e a família.; —
azedume； 酸澀/乖戾； s. m.；O azedume das suas palavras denunciava a mágoa.; —
bafejar； 吹拂/眷顧； v. t.；A sorte bafejou-o durante toda a carreira.; —
balbúrdia； 喧囂/混亂； s. f.；A reunião terminou em grande balbúrdia.; —
balizar； 標定/界定； v. t.；O projeto está balizado por prazos rigorosos.; —
banalizar； 使平凡/貶低； v. t.；A violência nos media banalizou o sofrimento alheio.; —
barbaridade； 野蠻/殘暴； s. f.；As imagens mostravam a barbaridade da guerra.; —
barganha； 討價還價； s. f.；A barganha foi longa mas acabaram por chegar a acordo.; —
bastar； 足夠/足以； v. i.；Basta de discussões infrutíferas!; —
beatífico； 安詳的/至福的； adj.；O sorriso beatífico da estátua inspirava paz.; —
beligerante； 好鬥的/交戰的； adj.；Os ânimos beligerantes dificultaram a negociação.; —
bem-aventurança； 幸福/祝福； s. f.；A bem-aventurança dos justos é tema recorrente na literatura.; —
beneficência； 慈善/善行； s. f.；A instituição de beneficência ajuda milhares de famílias.; —
benesse； 特權/好處； s. f.；Os administradores acumulavam benesses injustificadas.; —
benquisto； 受歡迎的/受喜愛的； adj.；O professor era benquisto por todos os alunos.; —
besuntar； 塗抹/弄髒； v. t.；Besuntou as mãos de óleo antes da massagem.; —
bifurcação； 分岔/分歧； s. f.；Na bifurcação da estrada, seguiu pela direita.; —
bilateral； 雙邊的/雙側的； adj.；O acordo bilateral fortaleceu as relações comerciais.; —
birra； 任性/發脾氣； s. f.；A criança fez birra por não ter gelado.; —
blasfémia； 褻瀆/冒犯； s. f.；As suas declarações foram consideradas blasfémia.; —
boato； 謠言/傳聞； s. m.；O boato espalhou-se rapidamente pela aldeia.; —
bonomia； 和藹/善良； s. f.；A bonomia do velho senhor conquistou todos.; —
borbulhar； 沸騰/起泡； v. i.；A água borbulhava na panela.; —
bravata； 虛張聲勢； s. f.；As suas bravatas não convenciam ninguém.; —
brecha； 缺口/漏洞； s. f.；A brecha no sistema de segurança foi corrigida.; —
breve； 簡短的/短暫的； adj.；O discurso foi breve mas impactante.; —
bruma； 薄霧/迷濛； s. f.；A bruma matinal cobria o vale.; —
bucólico； 田園的/鄉村的； adj.；A paisagem bucólica inspirava os poetas.; —
burgo； 市鎮/城鎮； s. m.；O burgo medieval preserva as suas muralhas.; —
buril； 鑿子/雕琢； s. m.；O escultor usou o buril com mestria.; —
busílis； 關鍵/難點； s. m.；Aí reside o busílis da questão.; —
cábula； 作弊/作弊小抄； s. f.；O aluno foi apanhado com a cábula no exame.; —
cacarejar； 咯咯叫/吹噓； v. i.；O galo cacarejava ao amanhecer.; —
cáfila； 一大群/一隊； s. f.；Uma cáfila de camelos atravessava o deserto.; —
cáustico； 腐蝕的/尖刻的； adj.；O comentário cáustico magoou-a profundamente.; —
caução； 保證金/擔保； s. f.；O arrendatário pagou uma caução de dois meses.; —
caudal； 水流/大量； s. m.；O caudal do rio aumentou com as chuvas.; —
cauteloso； 謹慎的/小心翼翼的； adj.；O investidor foi cauteloso nas suas aplicações.; com
cavilha； 插銷/藉口； s. f.；A cavilha partiu-se com o peso.; —
ceder； 讓步/放棄； v. t.；A empresa cedeu às exigências dos sindicatos.; a
celeuma； 喧囂/爭論； s. f.；A decisão gerou grande celeuma na assembleia.; —
censurar； 審查/譴責； v. t.；O comité censurou o comportamento do deputado.; —
céreo； 蠟黃的/蠟狀的； adj.；O rosto céreo do doente denotava sofrimento.; —
cercear； 削減/限制； v. t.；O governo cerceou as liberdades individuais.; —
cerimonial； 禮儀的/正式的； adj.；O protocolo cerimonial foi rigorosamente seguido.; —
cerne； 核心/本質； s. m.；O cerne do problema é a falta de comunicação.; —
certame； 競賽/比賽； s. m.；O certame literário atraiu autores de todo o país.; —
certificar； 認證/確認； v. t.；O selo certifica a origem biológica do produto.; —
certo； 確定的/正確的； adj.；É certo que a situação vai melhorar.; —
cessar； 停止/終止； v. i.；As hostilidades cessaram após o cessar-fogo.; —
chacina； 屠殺/屠宰； s. f.；A chacina dos inocentes chocou o mundo.; —
chancela； 蓋章/批准； s. f.；O documento tem a chancela do ministério.; —
chão； 地面/樸實的； s. m.；O projeto assenta num chão firme de investigação.; —
charada； 謎語/啞謎； s. f.；O anúncio parecia uma charada sem solução.; —
charlatão； 江湖騙子； s. m.；O charlatão vendia poções milagrosas.; —
chatear； 煩擾/打擾； v. t.；Não me chateies com esses problemas menores.; com
chavão； 陳腔濫調； s. m.；O discurso estava cheio de chavões políticos.; —
cheque； 支票； s. m.；O cheque foi devolvido por falta de fundos.; —
chingar； 責罵/訓斥； v. t.；A mãe chingou o filho por ter chegado tarde.; —
chocar； 孵化/使震驚； v. t.；A notícia chocou a opinião pública.; com
chuvada； 驟雨/大雨； s. f.；A chuvada inundou as ruas da baixa.; —
cifra； 數字/密碼； s. f.；A cifra do desemprego continua a subir.; —
cílios； 睫毛； s. m. pl.；Os cílios longos emolduravam-lhe o olhar.; —
cimeira； 峰會/頂峰； s. f.；A cimeira dos líderes europeus decorreu em Bruxelas.; —
cinzel； 雕刻刀； s. m.；O cinzel esculpiu a pedra com precisão.; —
circunscrito； 局限的/限定的； adj.；O incêndio ficou circunscrito a uma pequena área.; a
circunspeção； 謹慎/慎重； s. f.；Agiu com circunspeção num assunto tão delicado.; —
circunstância； 情況/環境； s. f.；As circunstâncias exigem uma resposta rápida.; —
cisão； 分裂/分割； s. f.；A cisão do partido político enfraqueceu a oposição.; —
citação； 引文/傳喚； s. f.；O autor fez várias citações de obras clássicas.; —
clamor； 吶喊/喧嘩； s. m.；O clamor popular exigia justiça.; —
clandestino； 秘密的/非法的； adj.；A imigração clandestina é um problema complexo.; —
clareira； 林中空地； s. f.；Encontraram uma clareira no meio da floresta.; —
cláusula； 條款/條文； s. f.；A cláusula contratual é ambígua.; —
clero； 神職人員； s. m.；O clero reuniu-se em sínodo.; —
coação； 強迫/脅迫； s. f.；A confissão foi feita sob coação.; —
cobiça； 貪婪/覬覦； s. f.；A cobiça pelos bens alheios levou-o ao crime.; —
cobrir； 覆蓋/涵蓋； v. t.；O seguro cobre todos os danos materiais.; —
cócó； 大便； s. m.；O bebé fez cócó na fralda.; —
codificar； 編碼/系統化； v. t.；O programador codificou o algoritmo.; —
coerção； 強制/約束； s. f.；A coerção estatal deve ser regulada por lei.; —
coeso； 緊密的/凝聚的； adj.；O grupo estava coeso nas suas reivindicações.; —
coexistir； 共存/並存； v. i.；As duas comunidades coexistem pacificamente.; com
cogitar； 思考/揣測； v. t.；Cogitou várias hipóteses antes de decidir.; —
cognitivo； 認知的； adj.；O desenvolvimento cognitivo da criança é notável.; —
coibir； 制止/禁止； v. t.；A lei coíbe a discriminação racial.; de
colmatação； 填補/堵塞； s. f.；A colmatação das faltas foi feita a tempo.; —
colóquio； 座談會/研討會； s. m.；O colóquio internacional reuniu especialistas de renome.; —
combater； 打擊/戰鬥； v. t.；A organização combate a corrupção ativamente.; —
comedido； 適度的/克制的； adj.；O seu discurso foi comedido e diplomático.; —
cominação； 威脅/恐嚇； s. f.；A cominação de penas severas não reduziu a criminalidade.; —
comiseração； 憐憫/同情； s. f.；Olhou para o mendigo com comiseração.; por
comissão； 委員會/佣金； s. f.；A comissão parlamentar investiga o caso.; —
comobar； 確認/證實； v. t.；Os dados comobam a teoria inicial.; —
compaginar； 協調/使和諧； v. t.；É difícil compaginar trabalho e família.; com
comparência； 出席/到場； s. f.；A comparência em tribunal é obrigatória.; —
compelir； 強迫/迫使； v. t.；As circunstâncias compeliam-no a tomar uma decisão.; a
compendiar； 摘要/概述； v. t.；O autor compendiou séculos de história num único volume.; —
compenetrar； 深入理解/充滿； v. r.；Ela compenetrou-se da importância do seu papel.; de
competência； 能力/權限； s. f.；O assunto é da competência do ministério.; —
compilação； 彙編/收集； s. f.；A compilação de leis foi publicada em formato digital.; —
complacente； 縱容的/自滿的； adj.；A atitude complacente do chefe prejudicou a equipa.; com
complementar； 補充的/互補的； adj.；Os dois departamentos têm funções complementares.; —
complexo； 複雜的/情結； adj.；O problema é mais complexo do que parece.; —
comportar； 包含/行為； v. t.；O estudo comporta várias fases de investigação.; —
composição； 組成/作文； s. f.；A composição química da substância é desconhecida.; —
compreender； 理解/包含； v. t.；O relatório compreende três secções principais.; —
comprometer； 承諾/危及； v. t.；Não te comprometas com prazos irreais.; com
compulsão； 強迫/衝動； s. f.；Sente uma compulsão irreprimível para verificar tudo.; —
comungar； 共享/共融； v. i.；Os dois partidos comungam dos mesmos ideais.; de
conceito； 概念/觀念； s. m.；O conceito de liberdade é fundamental na filosofia.; —
concernente； 有關的/關於的； adj.；Os documentos concernentes ao processo estão arquivados.; a
concerto； 音樂會/和諧； s. m.；O concerto de piano foi memorável.; —
concessão； 讓步/特許； s. f.；O governo fez concessões aos manifestantes.; —
conciso； 簡潔的/精煉的； adj.；O texto é conciso mas muito informativo.; —
concluir； 結束/推斷； v. t.；Concluiu-se que a hipótese estava correta.; —
concordância； 一致/協議； s. f.；Há concordância entre os peritos sobre o assunto.; com
concorrência； 競爭/同時發生； s. f.；A concorrência no mercado é feroz.; —
concupiscência； 貪慾/淫慾； s. f.；A concupiscência é condenada por várias religiões.; —
condecoração； 勳章/表彰； s. f.；Recebeu uma condecoração pelos serviços prestados.; —
condescender； 屈尊/俯就； v. i.；O diretor condescendeu em ouvir as queixas.; em
condigna； 相稱的/應得的； adj.；Recebeu uma recompensa condigna pelo seu esforço.; —
condimentar； 調味/增添趣味； v. t.；Condimentou a sopa com ervas aromáticas.; —
condolências； 慰問/哀悼； s. f. pl.；Apresentou as suas condolências à família enlutada.; —
condutor； 司機/導體； s. m.；O condutor do veículo foi multado.; —
conetar； 連接/連結； v. t.；O cabo coneta o computador à impressora.; —
confecionar； 製作/烹調； v. t.；Confeccionou um bolo delicioso para a festa.; —
conferência； 會議/講座； s. f.；A conferência de imprensa foi cancelada.; —
confiar； 信任/委託； v. t.；Confio plenamente na sua capacidade.; em
configurar； 配置/設定； v. t.；O sistema foi configurado para uso corporativo.; —
confinar； 限制/毗鄰； v. t.；O parque confina com a zona residencial.; com
confins； 邊界/極限； s. m. pl.；Viajou até aos confins do império.; —
confiscar； 沒收/充公； v. t.；A alfândega confiscou a mercadoria ilegal.; —
conflagração； 大火/衝突； s. f.；A conflagração destruiu centenas de hectares.; —
confluência； 交匯/合流； s. f.；A confluência dos dois rios forma um belo cenário.; —
conformidade； 符合/一致； s. f.；A obra foi executada em conformidade com o projeto.; com
confrade； 同會/同行； s. m.；Os confrades reuniram-se para a assembleia anual.; —
confrangedor； 令人痛心的； adj.；O estado do hospital era confrangedor.; —
congratular； 祝賀/恭賀； v. t.；Congratulamo-nos com o sucesso da iniciativa.; com
congregar； 聚集/集合； v. t.；O evento congregou pessoas de todo o mundo.; —
conjetura； 推測/猜想； s. f.；Apenas apresentou conjeturas sem fundamento.; —
conjeturar； 推測/猜想； v. t.；Conjeturou-se que o autor seria anónimo.; —
conjugar； 結合/變位； v. t.；É preciso conjugar esforços para resolver o problema.; —
conluio； 勾結/密謀； s. m.；O conluio entre as empresas foi provado.; —
conotação； 涵義/聯想； s. f.；A palavra tem uma conotação negativa.; —
consagrar； 奉獻/使著名； v. t.；Consagrou a vida à investigação científica.; a
consciencioso； 有良心的/認真的； adj.；O trabalho consciencioso do notário evitou erros.; —
conscrito； 徵召的/受限制的； adj.；O serviço militar conscrito foi abolido.; —
consecução； 實現/達成； s. f.；A consecução dos objetivos depende do esforço coletivo.; —
consecutivo； 連續的/接連的； adj.；Choveu durante três dias consecutivos.; —
consenso； 共識/一致意見； s. m.；Não houve consenso sobre a proposta.; —
conserto； 修理/修補； s. m.；O conserto do telhado custou caro.; —
considerando； 考慮到/鑒於； conj.；Considerando os factos, a decisão foi justa.; —
consignar； 指定/寄存； v. t.；O contrato consigna os direitos das partes.; —
consistir； 在於/由…組成； v. i.；A solução consiste em negociar diretamente.; em
consolar； 安慰/撫慰； v. t.；Os amigos consolaram-na pela perda.; —
conspícuo； 顯著的/卓越的； adj.；A sua contribuição foi conspícua para o projeto.; —
constância； 恆心/不變； s. f.；A constância dos seus valores é admirável.; —
constatação； 確認/發現； s. f.；A constatação dos factos levou à revisão do processo.; —
constranger； 約束/使尷尬； v. t.；A situação constrangeu todos os presentes.; a
construção； 建築/建設； s. f.；A construção da ponte demorou três anos.; —
consuetudinário； 習慣的/慣例的； adj.；O direito consuetudinário é reconhecido em algumas comunidades.; —
consultar； 諮詢/查閱； v. t.；Consultou o advogado antes de assinar.; —
consumado； 完成的/熟練的； adj.；É um consumado especialista em direito marítimo.; —
consumir； 消耗/消費； v. t.；O projeto consumiu muitos recursos.; —
contágio； 傳染/感染； s. m.；O contágio da doença foi rápido.; —
contemplar； 沉思/凝視； v. t.；Contemplava o pôr-do-sol em silêncio.; —
contenda； 爭論/衝突； s. f.；A contenda entre os vizinhos durou anos.; —
contender； 爭辯/鬥爭； v. i.；Os advogados contenderam no tribunal.; com
contencioso； 爭議的/訴訟的； adj.；O assunto é contencioso e vai a tribunal.; —
contentar； 滿足/使滿意； v. t.；Não é fácil contentar toda a gente.; com
contestar； 反對/質疑； v. t.；Vários deputados contestaram a decisão.; —
contexto； 上下文/背景； s. m.；É preciso analisar o contexto histórico.; —
contíguo； 相鄰的/接連的； adj.；O terreno é contíguo à propriedade vizinha.; a
continência； 節制/克制； s. f.；A continência sexual é uma prática religiosa.; —
contra-argumentar； 反駁； v. i.；O orador contra-argumentou com dados estatísticos.; —
contradita； 矛盾/反駁； s. f.；A testemunha caiu em contradita.; —
contrafação； 偽造/冒牌； s. f.；A contrafação de moeda é crime grave.; —
contrair； 收縮/感染； v. t.；Contraiu uma dívida elevada no banco.; —
contrapor； 對抗/反駁； v. t.；O advogado contrapos-lhe novos argumentos.; a
contrariedade； 逆境/阻礙； s. f.；Enfrentou muitas contrariedades no projeto.; —
contributo； 貢獻/捐款； s. m.；O contributo da ciência é inestimável.; para
contrição； 懺悔/悔悟； s. f.；Mostrou contrição pelo erro cometido.; —
controverso； 爭議性的； adj.；A medida é altamente controversa.; —
contumaz； 頑固的/屢教不改的； adj.；O criminoso contumaz foi finalmente preso.; —
convalescença； 康復期； s. f.；A convalescença após a cirurgia foi longa.; —
convenção； 公約/慣例； s. f.；A convenção internacional foi assinada por todos.; —
convergir； 匯聚/趨同； v. i.；As opiniões convergiram para uma solução comum.; para
conversão； 轉換/皈依； s. f.；A conversão da moeda foi feita ao câmbio oficial.; —
convicção； 信念/定罪； s. f.；Falou com profunda convicção.; —
convocar； 召集/召喚； v. t.；O presidente convocou uma reunião urgente.; —
cooperação； 合作/協作； s. f.；A cooperação internacional é essencial.; —
coordenação； 協調/協作； s. f.；A coordenação entre departamentos melhorou.; —
copioso； 豐富的/大量的； adj.；Chuvas copiosas alagaram a região.; —
coqueluche； 百日咳/寵兒； s. f.；O novo ator é a coqueluche do cinema nacional.; —
coragem； 勇氣/膽量； s. f.；Teve a coragem de denunciar a injustiça.; —
corcova； 駝背/隆起； s. f.；O dromedário tem uma corcova.; —
cordão； 繩索/帶； s. m.；O cordão policial impedia a passagem.; —
corinho； 小歌曲/短歌； s. m.；O corinho foi cantado na romaria.; —
corja； 幫派/一群壞人； s. f.；Aquela corja de corruptos foi desmascarada.; —
corolário； 推論/必然結果； s. m.；A inflação é um corolário da má gestão económica.; —
correção； 糾正/正確； s. f.；A correção do erro foi imediata.; —
corredeira； 急流/湍流； s. f.；As corredeiras do rio eram perigosas.; —
corresponder； 對應/回報； v. i.；As expectativas não corresponderam à realidade.; a
corroborar； 證實/確認； v. t.；Os testemunhos corroboram a versão do acusado.; —
corrói； 腐蝕/侵蝕； v. t.；A ferrugem corrói o metal.; —
cortejar； 追求/獻殷勤； v. t.；Cortejou-a durante meses antes de pedi-la em casamento.; —
cortesia； 禮貌/謙恭； s. f.；Agradeceu com cortesia o presente.; —
coruscante； 閃爍的/燦爛的； adj.；O céu coruscante de estrelas era deslumbrante.; —
coscuvilhar； 說閒話/八卦； v. i.；Passa o tempo a coscuvilhar sobre a vida alheia.; —
costear； 沿岸航行/繞過； v. t.；O barco costeou a ilha antes de atracar.; —
costume； 習慣/習俗； s. m.；O costume local proíbe o casamento em maio.; —
cotejo； 比較/對照； s. m.；Fez-se um cotejo entre os dois documentos.; —
cotidiano； 日常的； adj.；As tarefas cotidianas cansam-no.; —
covarde； 懦夫/膽小的； adj.；A agressão anónima foi um ato covarde.; —
cozer； 烹煮/燒製； v. t.；A sopa cozeu lentamente no lume.; —
criação； 創造/飼養； s. f.；A criação de emprego é prioritária.; —
critério； 標準/準則； s. m.；O critério de seleção foi rigoroso.; —
crucial； 關鍵的/決定性的； adj.；O momento crucial do jogo foi o golo.; —
crueza； 殘酷/生硬； s. f.；A crueza das imagens chocou os telespectadores.; —
cuidadoso； 小心的/細心的； adj.；O trabalho cuidadoso do artesão é notável.; com
culminar； 達到頂點/結束； v. i.；O projeto culminou com grande sucesso.; com
cultivo； 耕種/培養； s. m.；O cultivo da amizade requer dedicação.; —
cumprimento； 遵守/問候； s. m.；O cumprimento da lei é obrigatório.; de
cúmulo； 累積/頂點； s. m.；Foi o cúmulo da arrogância!; —
cunho； 烙印/性質； s. m.；O projeto tem um cunho social importante.; —
cupidez； 貪婪/貪財； s. f.；A cupidez dos banqueiros causou a crise.; —
cúpula； 圓頂/高層； s. f.；A cúpula do partido reuniu-se a portas fechadas.; —
cura； 治療/治癒； s. f.；A cura para a doença ainda não foi encontrada.; —
curiosidade； 好奇心/求知慾； s. f.；A curiosidade intelectual levou-o a investigar.; —
cursar； 就讀/修讀； v. t.；Cursou direito na Universidade de Coimbra.; —
curso； 課程/過程； s. m.；O curso das negociações foi atribulado.; —
custódia； 監護/保管； s. f.；A criança ficou sob a custódia da avó.; —
cútis； 皮膚/膚色； s. f.；A cútis dela era suave e luminosa.; —
dactilografar； 打字； v. t.；Dactilografou a carta com rapidez.; —
dádiva； 贈予/天賦； s. f.；A vida é uma dádiva preciosa.; —
damnificado； 受災的/受損的； adj.；As famílias damnificadas receberam apoio.; —
dar； 給/提供； v. t.；O professor deu uma explicação clara.; —
data； 日期/年代； s. f.；A data do evento foi alterada.; —
debate； 辯論/討論； s. m.；O debate parlamentar foi acalorado.; —
debandada； 潰散/逃散； s. f.；A debandada geral ocorreu após o anúncio.; —
debelar； 消滅/鎮壓； v. t.；O exército debelou a rebelião.; —
debilidade； 虛弱/弱點； s. f.；A debilidade física impede-o de trabalhar.; —
debitar； 借記/發出； v. t.；O banco debitou a mensalidade da conta.; —
debruçar； 俯身/專注研究； v. r.；O investigador debruçou-se sobre o problema.; sobre
decadência； 衰落/墮落； s. f.；O império entrou em decadência.; —
