assumir;承擔；假設；v. t.;Ela assumiu a responsabilidade pelo erro.;assumir a responsabilidade
atingir;達到；打中；v. t.;A empresa atingiu as metas do trimestre.;atingir o objectivo
atmosfera;氣氛；大氣；s. f.;A atmosfera do restaurante era muito agradável.;
atrasado;遲到的；adj.;O voo chegou atrasado ao aeroporto.;atrasado para
atravessar;穿越；v. t.;Temos que atravessar a ponte para chegar lá.;
aumento;增加；s. m.;O aumento de salário foi de dez por cento.;
autor;作者；s. m.;O autor do livro ganhou um prémio.;
autoridade;權威；s. f.;Ele fala com autoridade sobre o assunto.;
avançar;前進；v. i.;O projecto está a avançar bem.;
avaria;故障；s. f.;O carro teve uma avaria na estrada.;
aviso;通知；警告；s. m.;Recebi um aviso sobre a reunião.;
bairro;社區；街區；s. m.;Mudámo-nos para um bairro tranquilo.;
balanço;平衡；總結；s. m.;Vamos fazer um balanço do ano.;
base;基礎；s. f.;A base do argumento é muito sólida.;base de
bastante;足夠的；相當；adj. e adv.;Há bastante comida para todos.;
bem-estar;福祉；s. m.;O bem-estar dos funcionários é importante.;
benefício;利益；s. m.;Este seguro oferece muitos benefícios.;benefício de
biblioteca;圖書館；s. f.;Ela vai estudar na biblioteca.;
bicicleta;自行車；s. f.;Vou de bicicleta para o trabalho.;
bilhete;票；車票；s. m.;Comprei um bilhete de ida e volta.;
bolsa;袋子；獎學金；s. f.;Ela ganhou uma bolsa de estudos.;
bondade;善良；s. f.;A bondade dele impressionou toda a gente.;
borda;邊緣；s. f.;O copo está na borda da mesa.;
brilhar;發光；v. i.;As estrelas brilham no céu.;
brochura;手冊；小冊子；s. f.;Levei uma brochura do hotel.;
bruto;粗魯的；毛重的；adj.;O salário bruto dele é de dois mil euros.;
buraco;洞；s. m.;Há um buraco na estrada.;
cabaz;籃子；s. m.;Comprei um cabaz de frutas no mercado.;
cabeça;頭；領導；s. f.;Ele é o cabeça do projecto.;
cabo;電纜；末端；s. m.;O cabo do computador está partido.;cabo de
cadeia;監獄；連鎖；s. f.;O criminoso foi para a cadeia.;
caderno;筆記本；s. m.;Ela escreve tudo no caderno.;
caixa;盒子；收銀台；s. f.;Paguei na caixa do supermercado.;
calcular;計算；v. t.;Preciso de calcular o custo total.;calcular o preço
câmbio;匯兌；換乘；s. m.;A taxa de câmbio está favorável.;
caminhada;徒步；s. f.;Fizemos uma caminhada na serra.;
campanha;活動；運動；s. f.;A campanha de angariação de fundos foi um sucesso.;
cancelar;取消；v. t.;Eles cancelaram o voo por causa do mau tempo.;cancelar o voo
candidato;候選人；s. m.;Ele é o candidato ideal para o cargo.;
cansativo;累人的；adj.;O trabalho físico é muito cansativo.;
capital;首都；資本；s. f. e m.;Lisboa é a capital de Portugal.;
característica;特徵；s. f.;A paciência é uma característica importante.;
carga;負載；貨物；s. f.;O camião transporta uma carga pesada.;
cargo;職位；s. m.;Ele assumiu o cargo de director.;
carreira;職業；s. f.;Ela tem uma carreira de sucesso na medicina.;
carta;信件；地圖；s. f.;Escrevi uma carta à minha avó.;
cartão;卡片；會員卡；s. m.;Paguei com cartão de crédito.;
casaco;外套；s. m.;Leva um casaco porque está frio.;
casca;皮；殼；s. f.;A casca da laranja é amarela.;
caso;情況；案件；s. m.;Em caso de dúvida, pergunta ao professor.;em caso de
catalisador;催化劑；s. m.;A tecnologia foi o catalisador da mudança.;
categoria;類別；s. f.;Este produto pertence a outra categoria.;
cativeiro;囚禁；s. m.;Os animais vivem em cativeiro.;
causa;原因；事業；s. f.;A causa do incêndio é desconhecida.;causa de
celebrar;慶祝；v. t.;Vamos celebrar o aniversário dela.;celebrar com
cena;場景；s. f.;A cena do filme foi emocionante.;
censura;審查；s. f.;O governo impôs censura à imprensa.;
cerimónia;儀式；s. f.;A cerimónia de casamento foi linda.;
certeza;確定；s. f.;Tenho a certeza de que ele virá.;certeza de
certificado;證書；s. m.;Recebi o certificado de conclusão do curso.;
cessar;停止；v. i. e t.;A chuva cessou durante a tarde.;cessar de
chamar;呼叫；命名；v. t.;Como se chama este objeto?;chamar a
chance;機會；s. f.;Esta é a tua chance de mostrar o teu talento.;
chefe;主管；首領；s. m. e f.;O chefe aprovou o meu projecto.;
chinês;中文的；中國的；adj. e s. m.;Ela está a aprender chinês.;
circulação;流通；交通；s. f.;A circulação na cidade está complicada.;
circunstância;情況；s. f.;Em circunstâncias normais, não faria isto.;em circunstâncias de
citação;引用；引文；s. f.;Este texto tem uma citação de um autor famoso.;
cidadania;公民身份；s. f.;Ele pediu a cidadania portuguesa.;
civil;民事的；文明的；adj.;O código civil português é extenso.;
claro;清楚的；明亮的；adj. e adv.;Está claro que precisamos de mais tempo.;
classe;階級；課堂；s. f.;A classe média está a diminuir.;
classificar;分類；評級；v. t.;Como classificas este filme?;classificar como
cliente;客戶；s. m. e f.;O cliente ficou satisfeito com o serviço.;
clima;氣候；s. m.;O clima em Portugal é ameno.;
código;密碼；代碼；s. m.;Qual é o código postal da tua rua?;
coerente;一致的；adj.;O argumento dele não é coerente.;coerente com
cofre;保險箱；s. m.;Guarda as joias no cofre.;
colaborar;合作；v. t.;Vamos colaborar com a equipa estrangeira.;colaborar com
colecção;收藏；s. f.;Ele tem uma colecção de selos antigos.;
colega;同事；同學；s. m. e f.;A minha colega de trabalho é muito simpática.;
colheita;收穫；s. f.;A colheita deste ano foi abundante.;
colina;山丘；s. f.;A casa fica numa colina com vista para o mar.;
colocar;放置；v. t.;Onde posso colocar estes livros?;colocar em
coluna;柱子；欄位；s. f.;Há uma coluna partida no edifício.;
combate;戰鬥；s. m.;O combate contra a pobreza continua.;combate a
combinação;組合；s. f.;Esta combinação de cores é perfeita.;
combustível;燃料；s. m.;O preço do combustível aumentou.;
comentário;評論；s. m.;Deixei um comentário no artigo.;
comercial;商業的；adj.;O centro comercial está cheio ao fim de semana.;
cometer;犯（錯誤）；v. t.;Ele cometeu um erro grave.;cometer um erro
cómodo;舒適的；adj.;Esta cadeira é muito cómoda.;
companhia;公司；陪伴；s. f.;Gosto da tua companhia.;
comparação;比較；s. f.;Em comparação com o ano passado, as vendas subiram.;em comparação com
comportamento;行為；s. m.;O comportamento dele foi inaceitável.;
compor;組成；作曲；v. t.;A equipa é composta por cinco membros.;compor-se de
compreensão;理解；s. f.;A compreensão do texto é fundamental.;
comprometer;承諾；v. t.;Ele comprometeu-se a entregar o trabalho hoje.;comprometer-se a
comunicado;公報；s. m.;A empresa emitiu um comunicado oficial.;
comunidade;社區；s. f.;A comunidade local apoiou o projeto.;
conceito;概念；s. m.;Este conceito é difícil de explicar.;
concentrar;集中；v. t. e r.;Preciso de me concentrar no estudo.;concentrar-se em
concorrência;競爭；s. f.;A concorrência no mercado é intensa.;
condição;條件；s. f.;Aceito, mas com uma condição.;condição de
condutor;司機；導體；s. m.;O condutor do autocarro foi muito simpático.;
conduzir;駕駛；引導；v. t.;Ela conduz muito bem.;conduzir a
conferência;會議；s. f.;Ele vai dar uma conferência na universidade.;
confessar;坦白；v. t. e r.;O suspeito confessou o crime.;confessar que
confiança;信任；信心；s. f.;Tenho confiança nas tuas capacidades.;confiança em
confirmar;確認；v. t.;Preciso de confirmar a reserva do hotel.;confirmar com
conflito;衝突；s. m.;O conflito entre os dois países continua.;conflito de
confundir;使混淆；v. t.;Não confundas os conceitos.;confundir com
congelar;冷凍；v. t.;Vamos congelar a carne para conservar.;
conhecimento;知識；s. m.;O conhecimento é poder.;
conselho;建議；理事會；s. m.;Preciso de um conselho profissional.;conselho de
conservar;保存；v. t.;É importante conservar o meio ambiente.;
considerar;考慮；v. t.;Considero esta uma boa oportunidade.;considerar como
consigo;與自己；代詞；Ela falou consigo mesma.;
consistir;包含；v. i.;O projecto consiste em três fases.;consistir em
constante;持續的；adj.;O barulho é constante aqui.;
construção;建築；s. f.;A construção do prédio demorou dois anos.;
consultar;諮詢；查閱；v. t.;Vou consultar um médico.;consultar com
consumidor;消費者；s. m.;Os consumidores estão a protestar.;
consumo;消費；s. m.;O consumo de energia aumentou.;
contar;講述；計算；v. t.;Ela contou uma história interessante.;contar com
contemporâneo;當代的；adj.;A arte contemporânea é fascinante.;
conteúdo;內容；s. m.;O conteúdo do livro é muito rico.;
contexto;背景；上下文；s. m.;É preciso analisar o contexto histórico.;
contínuo;連續的；adj.;O processo é contínuo.;
contorno;輪廓；周圍；s. m.;O contorno da cidade é bonito.;
contra;反對；prep.;Ele está contra a proposta.;contra a
contribuir;貢獻；v. t.;Todos devem contribuir para o sucesso.;contribuir para
controlo;控制；s. m.;O controlo de qualidade é essencial.;controlo de
convencer;說服；v. t.;Ela convenceu-o a mudar de ideias.;convencer de
conversa;談話；s. f.;Tivemos uma conversa interessante.;
convicção;信念；s. f.;Ele falou com convicção.;
cooperar;合作；v. t.;As duas empresas vão cooperar neste projeto.;cooperar com
coordenação;協調；s. f.;Falta coordenação entre as equipas.;
cópia;副本；s. f.;Fiz uma cópia do documento.;
coração;心臟；心；s. m.;Ela tem um coração generoso.;
coragem;勇氣；s. f.;Ele teve coragem de dizer a verdade.;coragem para
cordas;繩索；s. f. pl.;As cordas da guitarra precisam de ser trocadas.;
corneta;號角；s. f.;Ele toca corneta na banda.;
coro;合唱團；s. m.;Ela canta no coro da igreja.;
corpo;身體；s. m.;O corpo humano é complexo.;
correção;矯正；正確；s. f.;O professor fez a correção dos testes.;
corredor;走廊；跑步者；s. m.;O corredor do escritório é estreito.;
corrente;流動的；當前的；adj. e s. f.;A corrente marítima é forte.;
cortar;切；剪；v. t.;Corta o pão, por favor.;cortar com
corte;裁切；宮廷；s. m.;O corte de cabelo dela está moderno.;
costas;背部；s. f. pl.;Ele deitou-se de costas.;
costume;習慣；s. m.;É costume dar presentes no Natal.;
cozinha;廚房；s. f.;A cozinha nova é muito moderna.;
criação;創造；s. f.;A criação de emprego é prioritária.;
criar;創造；v. t.;Ela criou uma empresa de tecnologia.;
crime;罪行；s. m.;O crime foi resolvido pela polícia.;
crítico;批評的；危急的；adj.;O estado do doente é crítico.;
crítica;批評；評論；s. f.;Ele fez uma crítica construtiva.;crítica de
cruzar;穿越；v. t.;Vamos cruzar a fronteira amanhã.;cruzar com
cultura;文化；s. f.;A cultura portuguesa é rica e diversa.;
cumprimento;問候；尺寸；s. m.;Os meus cumprimentos ao chefe.;
cumprir;履行；完成；v. t.;Tem que cumprir o prazo.;cumprir com
curiosidade;好奇心；s. f.;A curiosidade é importante para aprender.;
curso;課程；s. m.;Ela está a frequentar um curso de inglês.;
custar;花費；v. i.;Quanto custa este livro?;custar a
custo;成本；s. m.;O custo de vida aumentou.;custo de
danificar;損壞；v. t.;A tempestade danificou as casas.;
dano;損害；s. m.;O acidente causou danos materiais.;
dar-se bem;相處融洽；v. r.;Ela dá-se bem com todos os colegas.;dar-se bem com
data;日期；s. f.;Qual é a data de hoje?;
debate;辯論；s. m.;O debate sobre as eleições foi intenso.;
débito;借記；債務；s. m.;Paguei com cartão de débito.;
decidir;決定；v. t.;Ela decidiu mudar de emprego.;decidir sobre
decisão;決定；s. f.;Foi uma decisão difícil de tomar.;decisão de
declaração;聲明；報稅；s. f.;Ele fez uma declaração à imprensa.;
declínio;衰退；s. m.;O declínio da economia preocupa a todos.;
decoração;裝飾；s. f.;A decoração da casa é moderna.;
dedicar;奉獻；v. t.;Ela dedica muito tempo ao voluntariado.;dedicar-se a
defeito;缺陷；s. m.;O produto tem um defeito de fabrico.;
defender;保衛；v. t.;O advogado defendeu o cliente.;defender de
deficiência;缺陷；殘疾；s. f.;Ele tem uma deficiência visual.;
definir;定義；v. t.;É difícil definir este conceito.;
deixar;離開；讓；v. t. e i.;Deixa o livro na mesa, por favor.;deixar de
delgado;纖細的；adj.;Ela tem uma figura delgada.;
delicado;精緻的；微妙的；adj.;Esta situação é muito delicada.;
demais;過多；adv.;Não comas demais, faz mal à saúde.;
demanda;需求；s. f.;A demanda por este produto aumentou.;
democracia;民主；s. f.;A democracia é um valor fundamental.;
demonstrar;展示；v. t.;Os dados demonstram a eficácia do método.;demonstrar que
denunciar;舉報；v. t.;O jornalista denunciou a corrupção.;denunciar a
depender;取決於；v. i.;O resultado depende do esforço de todos.;depender de
depósito;存款；押金；s. m.;Fiz um depósito no banco.;
depressa;趕快地；adv.;Temos que acabar depressa.;
deprimido;沮喪的；adj.;Ele está deprimido desde que perdeu o emprego.;
desafio;挑戰；s. m.;Este trabalho é um desafio.;
desagradável;不愉快的；adj.;A experiência foi desagradável.;
desaparecer;消失；v. i.;O gato desapareceu de casa.;desaparecer de
desastre;災難；s. m.;O terramoto foi um desastre natural.;
descansar;休息；v. i.;Preciso de descansar este fim de semana.;
descarga;卸貨；排放；s. f.;A descarga do camião demorou uma hora.;
desconhecer;不瞭解；v. t.;Desconheço os detalhes do caso.;
desconto;折扣；s. m.;Comprei com vinte por cento de desconto.;
descrever;描述；v. t.;Podes descrever o que viste?;
desculpa;道歉；藉口；s. f.;Pede desculpa pelo que fizeste.;
desempenho;表現；性能；s. m.;O desempenho do atleta foi notável.;
desequilíbrio;不平衡；s. m.;Há um desequilíbrio entre oferta e procura.;
desenvolvimento;發展；s. m.;O desenvolvimento do país é lento mas contínuo.;
desejar;希望；v. t.;Desejo-te um bom dia.;
desfeito;破碎的；adj.;O acordo foi desfeito.;
desigual;不平等的；adj.;A distribuição da riqueza é desigual.;
desligar;關閉；掛斷；v. t.;Desliga o computador quando saíres.;desligar o
deslocar;移動；v. t. e r.;A empresa vai deslocar os funcionários.;deslocar-se para
deslumbrante;令人驚豔的；adj.;A vista do miradouro é deslumbrante.;
desobedecer;不服從；v. i.;O cão desobedeceu ao dono.;desobedecer a
desocupado;空閒的；adj.;Este lugar está desocupado.;
despedir;解僱；告別；v. t. e r.;A empresa despediu dez funcionários.;despedir-se de
despesa;開支；s. f.;As despesas do mês foram elevadas.;
desporto;體育運動；s. m.;O futebol é o desporto mais popular em Portugal.;
destacar;突出；v. t. e r.;Ela destaca-se pela sua inteligência.;destacar-se por
destino;命運；目的地；s. m.;Qual é o destino deste voo?;
destruir;摧毀；v. t.;O incêndio destruiu a floresta.;
desvalorizar;貶值；v. t.;A moeda desvalorizou-se.;
detectar;檢測；v. t.;O sistema detectou uma falha.;
determinar;決定；確定；v. t.;O juiz determinou a pena.;
detestar;厭惡；v. t.;Ele detesta acordar cedo.;
dever;應該；義務；v. t. e s. m.;Deves estudar mais.;dever de
devido a;由於；loc. prep.;O voo foi cancelado devido ao mau tempo.;devido a
dicionário;詞典；s. m.;Consulta o dicionário se tiveres dúvidas.;
diferença;差異；s. f.;Há uma grande diferença entre os dois.;
diferente;不同的；adj.;Ela é muito diferente da irmã.;diferente de
dificuldade;困難；s. f.;Ele superou todas as dificuldades.;dificuldade em
dimensão;規模；維度；s. f.;A dimensão do problema é enorme.;
diminuir;減少；v. t. e i.;A população está a diminuir.;diminuir de
dinâmico;動態的；adj.;O mercado está muito dinâmico.;
dinossauro;恐龍；s. m.;Os dinossauros viveram há milhões de anos.;
direcção;方向；管理層；s. f.;Vamos em direcção ao centro.;
director;導演；主任；s. m.;O director da escola reuniu os professores.;
dirigir;駕駛；指導；v. t.;Ela dirige uma equipa grande.;dirigir a
disciplina;紀律；學科；s. f.;A disciplina na sala de aula é importante.;
disco;唱片；光碟；s. m.;Comprei um disco novo.;
discurso;演講；s. m.;O discurso do presidente foi emocionante.;
discussão;討論；爭論；s. f.;Tivemos uma discussão produtiva.;
discutir;討論；v. t.;Vamos discutir o assunto amanhã.;discutir sobre
disfarçar;偽裝；v. t.;Ele disfarçou a tristeza com um sorriso.;disfarçar de
disparar;發射；v. t. e i.;O polícia disparou um tiro.;
disponível;可用的；adj.;O produto está disponível na loja online.;disponível para
disposição;安排；心情；s. f.;Ela está de boa disposição hoje.;disposição para
distância;距離；s. f.;A distância entre as duas cidades é de cem quilómetros.;
distinguir;區分；v. t.;É difícil distinguir as duas cores.;distinguir de
distorcer;扭曲；v. t.;A notícia distorceu os factos.;
distrair;使分心；v. t. e r.;O barulho distrai-me.;distrair-se com
distribuir;分配；v. t.;Vamos distribuir os folhetos.;distribuir por
ditar;口述；命令；v. t.;O professor ditou as perguntas.;
diversidade;多樣性；s. f.;A diversidade cultural enriquece a sociedade.;
dívida;債務；s. f.;Ele pagou todas as dívidas.;
dividir;分開；v. t.;Vamos dividir a conta.;dividir por
divisão;部門；分割；s. f.;Ela trabalha na divisão de marketing.;
divulgar;公開；傳播；v. t.;A empresa divulgou os resultados.;divulgar a
dobra;摺痕；s. f.;O vestido tem uma dobra.;
dócil;溫順的；adj.;O cão é muito dócil com as crianças.;
documento;文件；s. m.;Preciso de assinar o documento.;
domicílio;住所；s. m.;Qual é o seu domicílio fiscal?;
dominar;精通；控制；v. t.;Ele domina três línguas.;
donativo;捐贈；s. m.;Fiz um donativo para a instituição.;
dor;疼痛；s. f.;Sinto uma dor nas costas.;
dormir;睡覺；v. i.;Ela dormiu oito horas.;
dose;劑量；s. f.;O médico receitou uma dose diária.;
drama;戲劇；s. m.;Este filme é um drama intenso.;
drenar;排水；v. t.;Precisamos de drenar o terreno.;
durar;持續；v. i.;A reunião durou duas horas.;
duro;堅硬的；辛苦的；adj.;O trabalho na construção civil é duro.;
eclodir;爆發；v. i.;A guerra eclodiu subitamente.;
economia;經濟；s. f.;A economia portuguesa está a crescer.;
edição;版本；s. f.;Comprei a edição limitada do livro.;
educação;教育；s. f.;A educação é a base do desenvolvimento.;
efeito;效果；s. m.;O medicamento fez efeito rapidamente.;efeito de
eficaz;有效的；adj.;O tratamento foi muito eficaz.;
eficiente;效率高的；adj.;A nova máquina é mais eficiente.;
egoísta;自私的；adj.;Ele é muito egoísta, só pensa nele.;
eixo;軸；s. m.;O eixo da roda está partido.;
elaborar;精心製作；v. t.;Vamos elaborar um plano detalhado.;
eleição;選舉；s. f.;As eleições presidenciais são em Janeiro.;
elemento;元素；要素；s. m.;Falta um elemento importante no plano.;
elevado;高的；adj.;O custo é demasiado elevado.;
eliminar;消除；v. t.;Temos de eliminar os erros.;eliminar do
elogiar;讚揚；v. t.;O professor elogiou o trabalho do aluno.;
embalagem;包裝；s. f.;A embalagem do produto é reciclável.;
embora;雖然；conj.;Embora esteja cansado, vou ao treino.;
emergência;緊急情況；s. f.;Em caso de emergência, ligue para o 112.;em caso de emergência
emissão;發行；排放；s. f.;A emissão de gases poluentes é preocupante.;
emoção;情感；s. f.;O filme despertou muitas emoções.;
empatia;同理心；s. f.;Ela tem muita empatia pelos outros.;
empresa;公司；s. f.;A empresa onde trabalho é multinacional.;
encarar;面對；v. t.;Temos que encarar a realidade.;
encerrar;關閉；結束；v. t.;A loja encerra às oito.;
encontrar;找到；遇見；v. t. e r.;Encontrei o meu amigo no café.;encontrar-se com
encorajar;鼓勵；v. t.;O treinador encorajou a equipa.;encorajar a
endereço;地址；s. m.;Qual é o teu endereço de e-mail?;
energia;能量；精力；s. f.;Preciso de mais energia para trabalhar.;
enfermeiro;護士；s. m.;O enfermeiro cuidou do doente.;
enganar;欺騙；v. t.;Não tentes enganar-me.;enganar-se sobre
enorme;巨大的；adj.;A diferença é enorme.;
enquanto;當…的時候；conj.;Enquanto esperas, podes ler um livro.;
ensinar;教導；v. t.;Ela ensina português na escola.;ensinar a
entender;理解；v. t.;Não entendo esta explicação.;
enterro;葬禮；s. m.;O enterro foi emocionante.;
entidade;實體；組織；s. f.;A entidade responsável é o governo.;
entrada;入口；入場；s. f.;A entrada do museu é gratuita aos domingos.;
entretanto;然而；在此期間；adv.;Entretanto, a situação melhorou.;
entrevista;採訪；面試；s. f.;Ela teve uma entrevista de emprego.;
enviar;發送；v. t.;Vou enviar o relatório por e-mail.;enviar para
envolver;涉及；v. t. e r.;O projeto envolve muita gente.;envolver-se em
época;時代；季節；s. f.;Na época do Natal, as lojas estão cheias.;
equilíbrio;平衡；s. m.;É importante manter o equilíbrio entre trabalho e vida pessoal.;
equipa;團隊；s. f.;A nossa equipa ganhou o jogo.;
equivoco;誤解；錯誤；s. m.;Houve um equívoco na comunicação.;
erro;錯誤；s. m.;Cometi um erro no cálculo.;erro de
escada;樓梯；s. f.;Sobe as escadas com cuidado.;
escasso;不足的；adj.;Os recursos são escassos.;
esclarecer;澄清；v. t.;Podes esclarecer a tua dúvida?;
escocês;蘇格蘭的；adj. e s. m.;Ele é escocês.;
esconder;隱藏；v. t.;Onde é que ele escondeu o presente?;esconder de
escova;刷子；s. f.;Preciso de uma escova de dentes nova.;
escrita;寫作；文字；s. f.;A escrita dela é muito criativa.;
escritório;辦公室；s. m.;O escritório abre às nove.;
escultura;雕塑；s. f.;A escultura no museu é impressionante.;
esforço;努力；s. m.;O esforço valeu a pena.;esforço de
esgotado;售罄的；筋疲力盡的；adj.;O concerto está esgotado.;
espaço;空間；s. m.;Não há espaço suficiente na sala.;
especial;特別的；adj.;Este momento é muito especial.;
especialista;專家；s. m. e f.;Ela é especialista em marketing digital.;especialista em
especializar-se;專攻；v. r.;Ele especializou-se em medicina desportiva.;especializar-se em
especificar;具體說明；v. t.;Podes especificar o que queres?;
espectáculo;表演；s. m.;O espectáculo de dança foi lindo.;
espectador;觀眾；s. m.;Os espectadores aplaudiram no final.;
esperança;希望；s. f.;A esperança é a última a morrer.;esperança de
esperar;等待；希望；v. t.;Espero que estejas bem.;esperar por
espesso;濃密的；adj.;A floresta é muito espessa.;
espírito;精神；靈魂；s. m.;O espírito de equipa é fundamental.;
esplêndido;壯麗的；adj.;Que dia esplêndido para um passeio!;
espontâneo;自發的；adj.;A reação dela foi espontânea.;
espreitar;偷看；v. i.;Ele espreitou pela janela.;
esquerda;左邊；s. f.;Vira à esquerda no semáforo.;
estabelecer;建立；v. t.;Vamos estabelecer novas regras.;estabelecer com
estação;車站；季節；s. f.;A estação de comboios fica perto.;
estado;狀態；國家；s. m.;O estado de saúde dele é bom.;
estaleiro;造船廠；工地；s. m.;Ele trabalha no estaleiro naval.;
estante;書架；s. f.;Comprei uma estante nova para os livros.;
estar a fim de;有興趣；loc. verb.;Estás a fim de ir ao cinema?;
estatística;統計學；s. f.;A estatística mostra uma tendência positiva.;
estatuto;章程；身份；s. m.;O estatuto da empresa foi alterado.;
estilo;風格；s. m.;Ela tem um estilo muito próprio.;
estímulo;刺激；s. m.;O estímulo económico ajudou as empresas.;
estrangeiro;外國的；外國人；adj. e s. m.;Ele viaja muito para o estrangeiro.;
estratégia;策略；s. f.;Precisamos de uma nova estratégia de marketing.;
estrela;星星；明星；s. f.;As estrelas brilham no céu.;
estrutura;結構；s. f.;A estrutura do edifício é sólida.;
estudo;學習；研究；s. m.;O estudo da língua portuguesa é interessante.;estudo de
estúpido;愚蠢的；adj.;Foi um erro estúpido.;
ética;倫理；s. f.;A ética profissional é importante.;
evacuar;疏散；v. t.;A polícia evacuou o edifício.;
evidente;明顯的；adj.;É evidente que ele está errado.;
evitar;避免；v. t.;Devemos evitar o desperdício.;evitar de
evolução;演化；s. f.;A evolução da tecnologia é rápida.;
exactamente;精確地；adv.;Foi exactamente o que eu disse.;
exagerar;誇張；v. i.;Não exageres na quantidade.;exagerar em
exame;考試；檢查；s. m.;O exame final é na próxima semana.;
exceder;超過；v. t.;Não excedas o limite de velocidade.;exceder o limite
excelente;優秀的；adj.;O serviço foi excelente.;
excepção;例外；s. f.;Não abrimos excepções.;excepção a
excesso;過量；s. m.;O excesso de velocidade é perigoso.;excesso de
excitação;興奮；s. f.;A excitação antes da viagem era enorme.;
excluir;排除；v. t.;Excluíram-no da equipa.;excluir de
exclusivo;獨家的；adj.;Esta notícia é exclusiva.;
executar;執行；v. t.;O programa executa automaticamente.;
exemplo;例子；s. m.;Dá-me um exemplo concreto.;exemplo de
exercer;行使；從事；v. t.;Ela exerce a profissão de advogada.;
exercício;練習；鍛鍊；s. m.;Faz este exercício para casa.;
exigir;要求；v. t.;O cargo exige muita dedicação.;exigir de
existência;存在；s. f.;A existência de vida noutros planetas é possível.;
êxito;成功；s. m.;O projecto foi um grande êxito.;
expansão;擴張；s. f.;A expansão da empresa para o mercado asiático.;
expectativa;預期；期望；s. f.;As expectativas para o evento são altas.;expectativa de
experiência;經驗；體驗；s. f.;A experiência de trabalho é valorizada.;
explicação;解釋；s. f.;A explicação do professor foi clara.;
explodir;爆炸；v. i.;A bomba explodiu ao longe.;
exploração;探索；剝削；s. f.;A exploração de recursos naturais é controlada.;
explorar;探索；v. t.;Vamos explorar a cidade amanhã.;
exportação;出口；s. f.;A exportação de vinho é importante para Portugal.;
exposição;展覽；暴露；s. f.;A exposição de arte abre amanhã.;exposição a
expressão;表達；短語；s. f.;Esta expressão é difícil de traduzir.;
expressar;表達；v. t.;Ela expressou a sua opinião.;expressar-se em
extensão;延伸；規模；s. f.;A extensão do problema é desconhecida.;
exterior;外部；國外；adj. e s. m.;O comércio exterior cresceu.;
externo;外在的；adj.;O factor externo influenciou o resultado.;
extrair;提取；v. t.;Extraíram ouro da mina.;extrair de
